Reference,Value,Footprint,Qty,JLCPCB Part #
C3,100nF,Capacitor_SMD:C_0402_1005Metric,1,C1525
C4,10pF,Capacitor_SMD:C_0402_1005Metric,1,C32949
C5,10uF,Capacitor_SMD:C_0402_1005Metric,1,C15525
C6,10uF,Capacitor_SMD:C_0402_1005Metric,1,C15525
C7,22uF,Capacitor_SMD:C_0603_1608Metric,1,C59461
C8,22uF,Capacitor_SMD:C_0603_1608Metric,1,C59461
C9,22uF,Capacitor_SMD:C_0603_1608Metric,1,C59461
J1,Micro_SD_Card,Connector_Card:microSD_HC_Hirose_DM3D-SF,1,C719027
J2,USB_C_Receptacle_USB2.0_14P,Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,C2760486
J5,Ext.BME280,Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,C51940130
J9,Ext.Pwr,Connector_JSt_Extended:HX20007-2AWB,1,C442222
J10,Ext.IMU,Connector_JST:JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,C160405
J11,Ext.Photo,Connector_JST:JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,1,C160402
L1,1uH,Inductor_Extended:IND_SRP4020FA-1R0M,1,C842935
R1,5.1kR,Resistor_SMD:R_0402_1005Metric,1,C25905
R2,5.1kR,Resistor_SMD:R_0402_1005Metric,1,C25905
R3,1kR,Resistor_SMD:R_0402_1005Metric,1,C11702
R4,2kR,Resistor_SMD:R_0402_1005Metric,1,C4109
R5,1kR,Resistor_SMD:R_0402_1005Metric,1,C11702
R6,2kR,Resistor_SMD:R_0402_1005Metric,1,C4109
R7,1M,Resistor_SMD:R_0402_1005Metric,1,C26083
R9,111kR,Resistor_SMD:R_0805_2012Metric,1,C865144
U1,FXMA108,Package_DFN_QFN:WQFN-20-1EP_2.5x4.5mm_P0.5mm_EP1x2.9mm,1,C891320
U3,TPS63060,Package_SON:Texas_S-PWSON-N10_ThermalVias,1,C48567
