Designator,Mid X,Mid Y,Rotation,Layer
C3,151.65,-104.05,90,top
C4,151.6,-100.31,0,top
C5,147.002,-112.276772,180,top
C6,147.002,-109.976772,180,top
C7,147.677,-101.875772,180,top
C8,147.677,-99.675772,180,top
C9,147.677,-96.665772,180,top
J1,148.73,-69.75,180,top
J2,150.627,-123.175772,0,top
J5,138.027,-67.075772,-90,top
J9,140.35,-127.0375,180,top
J10,159.55,-68.075772,90,top
J11,138.002,-73.975772,-90,top
J12,152.227,-79.075772,-90,top
J15,161,-120.075,0,top
J16,161,-80.26,0,top
J17,136.5,-79.5,0,top
L1,144.402,-106.176772,-90,top
R1,147.027,-117.285772,180,top
R2,154.327,-117.175772,0,top
R3,140.45,-97.05,0,top
R4,141.85,-96.6,90,top
R5,140.405784,-99.06037,0,top
R6,141.85,-98.6,90,top
R7,150.15,-99.86,-90,top
R9,151.033908,-101.825286,0,top
U1,148.377,-89.775772,0,top
U3,149.102,-106.175772,90,top
